kind	token	count
pb-total	<pb:...>	4936514
pb-sample	<pb:KR5a0001_SJB_001-010001b>	1
pb-sample	<pb:KR5a0001_SJB_002-010008a>	1
pb-sample	<pb:KR5a0001_SJB_003-010014c>	1
pb-sample	<pb:KR5a0001_SJB_004-010022b>	1
pb-sample	<pb:KR5a0001_SJB_005-010028b>	1
pb-sample	<pb:KR5a0001_SJB_006-010035c>	1
pb-sample	<pb:KR5a0001_SJB_007-010043b>	1
pb-sample	<pb:KR5a0001_SJB_008-010049a>	1
pb-sample	<pb:KR5a0001_SJB_009-010054c>	1
pb-sample	<pb:KR5a0001_SJB_010-010062a>	1
pb-sample	<pb:KR5a0001_SJB_011-010069a>	1
pb-sample	<pb:KR5a0001_SJB_012-010076c>	1
pb-sample	<pb:KR5a0001_SJB_013-010083c>	1
pb-sample	<pb:KR5a0001_SJB_014-010090c>	1
pb-sample	<pb:KR5a0001_SJB_015-010097b>	1
pb-sample	<pb:KR5a0001_SJB_016-010104a>	1
pb-sample	<pb:KR5a0001_SJB_017-010110a>	1
pb-sample	<pb:KR5a0001_SJB_018-010117a>	1
pb-sample	<pb:KR5a0001_SJB_019-010123c>	1
pb-sample	<pb:KR5a0001_SJB_020-010129c>	1
other	<折 t="33"/>	4868
other	<img:>	2598
other	<module>	6
other	<2012-03-20 Tue>	4
other	<2012-03-28 Wed>	3
other	<欠>	2
other	<經部,樂類,皇言定聲錄>	2
other	<md:KR3a0007_SBCK_017-1a>	1
other	<md:KR3a0007_SBCK_017-1b>	1
other	<md:KR3a0007_SBCK_017-2a>	1
other	<md:KR3a0007_SBCK_017-2b>	1
other	<md:KR3a0007_SBCK_017-3a>	1
other	<md:KR3a0007_SBCK_017-3b>	1
other	<md:KR3a0007_SBCK_017-4a>	1
other	<md:KR3a0007_SBCK_017-4b>	1
other	<md:KR3a0007_SBCK_017-5a>	1
other	<md:KR3a0007_SBCK_017-5b>	1
other	<md:KR3a0007_SBCK_017-6a>	1
other	<md:KR3a0007_SBCK_017-6b>	1
other	<md:KR3a0007_SBCK_017-7a>	1
other	<md:KR3a0007_SBCK_017-7b>	1
other	<md:KR3a0007_SBCK_017-8a>	1
other	<md:KR3a0007_SBCK_017-8b>	1
other	<md:KR3a0007_SBCK_017-9a>	1
other	<md:KR3a0007_SBCK_017-9b>	1
other	<md:KR3a0007_SBCK_017-10a>	1
other	<md:KR3a0007_SBCK_017-10b>	1
other	<md:KR3a0007_SBCK_017-11a>	1
other	<md:KR3a0007_SBCK_017-11b>	1
other	<md:KR3a0007_SBCK_017-12a>	1
other	<md:KR3a0007_SBCK_017-12b>	1
other	<md:KR3a0007_SBCK_017-13a>	1
other	<md:KR3a0007_SBCK_017-13b>	1
other	<md:KR3a0007_SBCK_017-14a>	1
other	<md:KR3a0007_SBCK_017-14b>	1
